STATIONS_ID;MESS_DATUM;QN_6;RS;RSF;SH_TAG;NSH_TAG;eor
          6;20240817;    3;   1.4;   6;   0;   0;eor
          6;20240818;    3;  13.9;   6;   0;   0;eor
          6;20240819;    1;   1.0;   6;   0;   0;eor
          6;20240820;    1;   0.0;   0;   0;   0;eor
          6;20240821;    1;   1.8;   6;   0;   0;eor
          6;20240822;    1;   0.0;   0;   0;   0;eor
          6;20240823;    1;   0.0;   0;   0;   0;eor
          6;20240824;    1;   1.7;   6;   0;   0;eor
          6;20240825;    1;   0.1;   6;   0;   0;eor
          6;20240826;    1;   0.0;   0;   0;   0;eor
          6;20240827;    1;   0.0;   0;   0;   0;eor
          6;20240828;    1;   0.0;   0;   0;   0;eor
          6;20240829;    1;   0.0;   0;   0;   0;eor
          6;20240830;    1;   0.0;   0;   0;   0;eor
          6;20240831;    1;   0.0;   0;   0;   0;eor
          6;20240901;    1;   0.9;   6;   0;   0;eor
          6;20240902;    1;   1.0;   6;   0;   0;eor
          6;20240903;    1;   0.2;   6;   0;   0;eor
          6;20240904;    1;   0.1;   6;   0;   0;eor
          6;20240905;    1;   0.0;   6;   0;   0;eor
          6;20240906;    1;   0.0;   0;   0;   0;eor
          6;20240907;    1;   0.0;   0;   0;   0;eor
          6;20240908;    1;  17.4;   6;   0;   0;eor
          6;20240909;    1;  11.0;   6;   0;   0;eor
          6;20240910;    1;   2.9;   6;   0;   0;eor
          6;20240911;    1;   9.4;   6;   0;   0;eor
          6;20240912;    1;   2.4;   8;   0;   0;eor
          6;20240913;    1;   0.9;   6;   0;   0;eor
          6;20240914;    1;   0.1;   6;   0;   0;eor
          6;20240915;    1;   0.3;   6;   0;   0;eor
          6;20240916;    1;  11.2;   6;   0;   0;eor
          6;20240917;    1;   0.0;   6;   0;   0;eor
